"","Title","Company","City","State","Skills"
"71","Data Scientist","Sears","Hoffman Estates"," IL","Python. SQL. R. SAS. C++. statistics. Tableau."
"72","Data Scientist","The-Vitality-Group","Chicago"," IL","Python. SQL. R. Excel. C++. statistics. Java."
"73","DATA SCIENTIST","Northrop-Grumman","Herndon"," VA","C++."
"74","Data Scientist Internships (Part-Time, Work Remotely)","Symantec","San Diego"," CA","Python. SQL. C++. statistics."
"75","Data Science Analyst (Intern)","Xentity-Corporation","Philadelphia"," PA","Python. SQL. R. C++."
"76","ISR Cognitive Data Scientist","IBM","High Point"," NC","Python. SQL. R. C++. Tableau."
"77","Data Scientist, Benefits Innovation","Comcast","Hopkinton"," MA","Python. SQL. R. SAS. Excel. C++. Tableau."
"78","GBSC Analyst Data Scientist","Mastercard","San Jose"," CA","Python. R. Excel. C++."
"79","Data Scientist","Brown-University","Duluth"," GA","Python. SQL. R. C++."
"80","Data Scientist","Stubhub","Los Angeles"," CA","Python. SQL. R. SAS. Excel. C++."
"81","Research Data Analyst","Mhmr","Charlotte"," NC","R. C++. Tableau."
"82","Data Scientist Team Lead","Bank-of-America","Little Rock"," AR","Python. SQL. C++. Java."
"83","Quantitative Analyst I","Nationstar-Mortgage","Lafayette"," LA","NoSQL. R. C++. Java."
"84","Data Scientist","Capgemini","Salt Lake City"," UT","SAS. Excel. C++. statistics. Java."
"85","Data Scientist","American-Institutes-For-Research","Cleveland"," OH","Python. R. SAS. C++. Java."
"86","Data Analyst Intern","SAS-Institute","Duluth"," GA","C++."
"87","Data Scientist","Sprinklr","Santa Barbara"," CA","Python. SQL. NoSQL. R. SAS. Excel. C++. statistics."
"88","Statistical Programmer <U+2013> early phase","Agco-Corporation","Keller"," TX","SQL. C++."
"89","Data Scientist, Analytics","Logic2020","San Carlos"," CA","Python. SQL. R. C++."
"90","Regulatory Data Scientist","Change-Healthcare","Santa Clara Valley"," CA","R. Excel. C++."
"91","Data Scientist","Allen-Institute","Home Based",NA,"C++."
"92","Data Scientist-ascena","Symantec","Pataskala"," OH","Python. R. C++."
"93","Data Scientist - Cyber","CGI-Group","McLean"," VA","C++."
"94","Data Scientist","US-Air-Force","Dallas"," TX","Python. R. Excel. C++. statistics. Java."
"95","Senior Scientist Data Sciences","University-of-California---SAN-Francisco","West Chester"," PA","Python. SQL. R. SAS. C++. statistics. Tableau."
"96","Data Scientist / Software Developer <U+2013> Oil and Gas","True-Religion-Brand-Jeans","Houston"," TX","Python. SQL. R. Excel. C++. statistics. Java."
"97","Genomics Data Scientist","Spectrum-1","St. Louis"," MO","C++."
"98","Machine Learning Software Engineer","Two-Sigma","Cupertino"," CA","Python. SQL. C++. statistics."
"99","Machine Learning Engineer #93356","Sharp-Laboratories-of-America","Houston"," TX","Python. SQL. R. C++."
"100","Data Scientist","Nba","Melrose Park"," IL","Python. SQL. R. C++. Tableau."
"101","Data Scientist","Johnson-Controls","Raritan"," NJ","Python. SQL. R. SAS. Excel. C++. Tableau."
"102","Data Engineer","Match","Marshall"," TX","Python. R. Excel. C++."
"103","Computational support for Machine Learning and LSTM","Apple","Louisville"," KY","Python. SQL. R. C++."
"104","Data Scientist","Altamira-Technologies-Corporation","New York"," NY","Python. SQL. R. SAS. Excel. C++."
"105","2018 Rotational Quantitative Risk Analyst-Cleveland","Keybank","San Francisco"," CA","R. C++. Tableau."
"106","STATISTICAL ANALYST A","Tenor","San Francisco"," CA","Python. SQL. C++. Java."
"107","Data Scientist","Illinois-Mathematics-and-Science-Academy","Philadelphia"," PA","NoSQL. R. C++. Java."
"108","Data Scientist (SmartYield)","Craig-Technologies","Boston"," MA","SAS. Excel. C++. statistics. Java."
"109","Data Scientist PhD","Nyu-Langone-Health","San Francisco"," CA","Python. R. SAS. C++. Java."
"110","Data Scientist","Uber","Eden Prairie"," MN","C++."
"111","Quantitative Researcher (Machine Learning)","Tableau","Seattle"," WA","Python. SQL. NoSQL. R. SAS. Excel. C++. statistics."
"112","Statistician","Lockheed-Martin","Rochester"," NY","SQL. C++."
"113","Data Scientist","Microsoft","Redmond"," WA","Python. SQL. R. C++."
"114","Data Analyst III","Scimetrika","Atlanta"," GA","R. Excel. C++."
"115","Quantitative Analyst","Leidos","Washington"," DC","C++."
"116","Machine Learning - Engineer // Pennington, NJ // Full-Time","Sanofi","Cambridge"," MA","Python. R. C++."
"117","Data Scientist, Bioinformatics","State-of-Minnesota","Saint Paul"," MN","C++."
"118","Data Scientist","Sprint","Kansas City"," MO","Python. R. Excel. C++. statistics. Java."
"119","Machine Learning Engineer - Intern","Morgan-Stanley","New York"," NY","Python. SQL. R. SAS. C++. statistics. Tableau."
"120","Policy and Data Analyst - Research Scientist 3 - Health","Mercy-Health","Cincinnati"," OH","Python. SQL. R. Excel. C++. statistics. Java."
"121","Data Scientist (Linear Regression)","Levi-Strauss-&-Co","San Francisco"," CA","C++."
"122","Data Scientist","Pricelinecom","McLean"," VA","Python. SQL. C++. statistics."
"123","Data Scientist","Uptake","Waltham"," MA","Python. SQL. R. C++."
"124","Statistician","Medtronic","Houston"," TX","Python. SQL. R. C++. Tableau."
"125","Statistical Data Analyst I - Public Health-Social Work","Washington-University-in-St-Louis","Baltimore"," MD","Python. SQL. R. SAS. Excel. C++. Tableau."
"126","Data Scientist - Journey Analytics","Mckinsey-&-Company","Suitland"," MD","Python. R. Excel. C++."
"127","Data Scientist / Predictive Analyst","Farmers-Insurance-Group","Waltham"," MA","Python. SQL. R. C++."
"128","Cloud Data Scientist","Booz-Allen-Hamilton","Menlo Park"," CA","Python. SQL. R. SAS. Excel. C++."
"129","Operations Research Scientist Intern","Facebook","Santa Clara"," CA","R. C++. Tableau."
"130","Data Scientist Intern","Amazoncom","Salt Lake City"," UT","Python. SQL. C++. Java."
"131","Data Engineer","Uber","Bellevue"," WA","NoSQL. R. C++. Java."
"132","Data Scientist, Journeyman","Digitas-Lbi","Tampa"," FL","SAS. Excel. C++. statistics. Java."
"133","Data Scientist II","Apple","Boise"," ID","Python. R. SAS. C++. Java."
"134","2018 Full time: GP - Sr Statistical Analyst, Retail Analytics","Nyc-Health-Hospitals","New York"," NY","C++."
"135","Software Engineer - Machine Learning","The-Home-Depot","Piscataway"," NJ","Python. SQL. NoSQL. R. SAS. Excel. C++. statistics."
"136","Data Scientist","Brigham-and-Women's-Hospital-(bwh)","Clark"," NJ","SQL. C++."
"137","Coop/Intern - Machine Learning Eng - Incubator-R&I","Mathematica-Policy-Research","Bellevue"," WA","Python. SQL. R. C++."
