title,company,industry,city,state,website
Data Scientist,Beyond Finance,Finance,Boston,MA,https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=219506&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548357&jobListingId=2353758853
Data Scientist,John Deere,Manufacturing,Moline,IL,https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=55774&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548357&jobListingId=2544421403
Data Scientist,Backcountrycom,Retail,ParkCity,UT,https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=219514&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548359&jobListingId=2542418842
Data Scientist,Two Sigma,Finance,NewYork,NY,https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=254286&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548360&jobListingId=2399151229
Data Scientist,Uptake,Information Technology,Chicago,IL,https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=241347&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548362&jobListingId=2220873086
Data Scientist,Quotient,Business Services,Cincinnati,OH,https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=200733&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548363&jobListingId=2531687710
Data Scientist,Crossfire Consulting,Business Services,GarnetValley,PA,https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=4120&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548364&jobListingId=2545553758
Data Scientist,Nytec,Information Technology,Francisco,CA,https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=205671&tgt=APPLY_START&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cb=1506836548366&jobListingId=2516698165
Data Scientist,Coach,Retail,NewYork,NY,https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=134592&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548367&jobListingId=2545313427
Data Scientist,Walmart eCommerce,Information Technology,SanBruno,CA,https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=155510&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548368&jobListingId=2519519862
Data Scientist,Affirm,Finance,SanFrancisco,CA,https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=202354&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548369&jobListingId=1059546238
Data Scientist,Affirm,Finance,SanFrancisco,CA,https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=202354&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548370&jobListingId=1059546238
Data Scientist,Monsanto Company,Agriculture amp Forestry,SaintLouis,MO,https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=173064&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548371&jobListingId=2545109046
Data Scientist,Grammarly,Consumer Services,SanFrancisco,CA,https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=190079&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836548372&jobListingId=2416030886
Data Scientist,A Place for Mom,Health Care,Seattle,WA,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=169855&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&vt=w&rtp=0&cb=1506836548374&jobListingId=2548008644
Data Scientist,Planned Systems International,Information Technology,Arlington,VA,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=254637&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&vt=w&rtp=0&cb=1506836548374&jobListingId=2547764252
Data Scientist,HUB International,Insurance,Chicago,IL,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=179990&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&vt=w&rtp=0&cb=1506836548374&jobListingId=2542905303
Data Scientist,Rocket Lawyer,Information Technology,SanFrancisco,CA,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=246924&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&vt=w&rtp=0&cb=1506836548374&jobListingId=2467294490
Data Scientist,Publishers Clearing House,Business Services,Jericho,NY,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=172791&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&vt=w&rtp=0&cb=1506836548374&jobListingId=2524119434
Data Scientist,Cisco Systems,Information Technology,SanJose,CA,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=238835&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&vt=w&rtp=0&cb=1506836548374&jobListingId=2547807090
Data Scientist,Amazon,NA,Seattle,WA,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=198596&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&vt=w&rtp=0&cb=1506836548374&jobListingId=2409100278
Data Scientist,ID Analytics,Information Technology,SanDiego,CA,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=183177&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&vt=w&rtp=0&cb=1506836548374&jobListingId=2524279852
Data Scientist,Stonebridge,Information Technology,Tulsa,OK,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=219227&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&vt=w&rtp=0&cb=1506836548374&jobListingId=2407600912
Data Scientist  Intern,Asana,Information Technology,SanFrancisco,CA,https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=220612&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&vt=w&rtp=0&cb=1506836548374&jobListingId=2546559281
Data Scientist,Shutterfly,Information Technology,RedwoodCity,CA,https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=235066&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&vt=w&rtp=0&cb=1506836548375&jobListingId=2368633574
Data Scientist,Epiworks,Manufacturing,Champaign,IL,https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=4120&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&vt=w&rtp=0&cb=1506836548375&jobListingId=2338343267
Data Scientist,Westar Energy,Oil Gas Energy amp Utilities,Topeka,KS,https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=173064&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&vt=w&rtp=0&cb=1506836548375&jobListingId=2546020618
Data Scientist,Quicken Loans,Finance,Detroit,MI,https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=211207&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&vt=w&rtp=0&cb=1506836548375&jobListingId=2465238426
Data Scientist,Progrexion,Business Services,UnitedStates,NA,https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=210607&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&vt=w&rtp=0&cb=1506836548375&jobListingId=2536992063
Data Scientist,Wallace Myers International,Business Services,Kerry,ND,https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=4120&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&vt=w&rtp=0&cb=1506836548375&jobListingId=2546206312
Data Scientist,Beyond Finance,Finance,Boston,MA,https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=219506&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&vt=w&rtp=0&cb=1506836548375&jobListingId=2353758853
Data Scientist,John Deere,Manufacturing,Moline,IL,https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=55774&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&vt=w&rtp=0&cb=1506836548375&jobListingId=2544421403
Data Scientist,Backcountrycom,Retail,ParkCity,UT,https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=219514&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&vt=w&rtp=0&cb=1506836548375&jobListingId=2542418842
Data Scientist,Two Sigma,Finance,NewYork,NY,https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=254286&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&vt=w&rtp=0&cb=1506836548375&jobListingId=2399151229
Data Scientist,Uptake,Information Technology,Chicago,IL,https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=241347&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&vt=w&rtp=0&cb=1506836548375&jobListingId=2220873086
Data Scientist,Quotient,Business Services,Cincinnati,OH,https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=200733&s=58&guid=0000015ed67508749e5fb010cf84dfd8&src=GD_JOB_AD&vt=w&rtp=0&cb=1506836548375&jobListingId=2531687710
